    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
       14525.13454,     0.03552497782,      0.6524010632,                 0,                 0,                 0,      0.1703752596,    0.003726956481,      0.6533569324,                 0,       18.36457341,   0.0006462560993
       14525.13454,     0.03519081803,      0.6563204888,                 0,                 0,                 0,      0.1702665237,    0.003202413002,      0.6572554467,                 0,        18.6503334,   0.0006462560993
       14525.13454,     0.03485686882,      0.6603237506,                 0,                 0,                 0,      0.1701660643,     0.00267399909,      0.6612377081,                 0,       18.94386309,   0.0006462560993
       14525.13454,     0.03453196729,      0.6644407952,                 0,                 0,                 0,      0.1700804129,    0.002149083708,      0.6653340579,                 0,        19.2413247,   0.0006462560993
       14525.13454,     0.03422043765,      0.6686890543,                 0,                 0,                 0,       0.170007627,     0.00163113744,      0.6695621174,                 0,        19.5406342,   0.0006462560993
       14525.13454,     0.03393617446,      0.6731236292,                 0,                 0,                 0,       0.169967326,    0.001131356302,      0.6739775991,                 0,       19.83498847,   0.0006462560993
       14525.13454,     0.03367812974,      0.6777289551,                 0,                 0,                 0,      0.1699446915,   0.0006494511593,      0.6785649057,                 0,       20.12371116,    0.001938269982
       14525.13454,     0.03344745904,      0.6824704641,                 0,                 0,                 0,      0.1699210282,   0.0001882588362,      0.6832895663,                 0,       20.40425442,    0.001938269982
       14525.13454,     0.03323290254,      0.6872131946,                 0,                 0,                 0,      0.1698362185,  -0.0002568978602,      0.6880162314,                 0,       20.67869918,    0.001938269982
       14525.13454,     0.03303890639,      0.6919465479,                 0,                 0,                 0,      0.1696837732,  -0.0006810621359,      0.6927345312,                 0,       20.94338535,    0.001938269982
       14525.13454,     0.03286904845,      0.6966815418,                 0,                 0,                 0,      0.1694633597,   -0.001081196662,      0.6974556445,                 0,       21.19567115,    0.001938269982
       14525.13454,     0.03272690477,      0.7014132647,                 0,                 0,                 0,      0.1691722642,    -0.00145349057,      0.7021748397,                 0,       21.43231295,    0.001938269982
       14525.13454,     0.03262396638,      0.7061830917,                 0,                 0,                 0,      0.1688317872,   -0.001788480387,      0.7069340023,                 0,       21.64614454,    0.001938269982
       14525.13454,     0.03256992271,      0.7110171562,                 0,                 0,                 0,      0.1684580005,   -0.002077760236,      0.7117597061,                 0,       21.83048337,    0.001938269982
       14525.13454,     0.03256133589,      0.7158262999,                 0,                 0,                 0,      0.1680218665,   -0.002320424081,      0.7165627312,                 0,       21.98393525,    0.001938269982
       14525.13454,      0.0325890727,      0.7205376224,                 0,                 0,                 0,      0.1674944581,   -0.002522045864,      0.7212698193,                 0,       22.10979211,    0.001938269982
       14525.13454,     0.03264235025,      0.7250800233,                 0,                 0,                 0,      0.1668465895,   -0.002689934851,      0.7258094291,                 0,       22.21286205,    0.001938269982
       14525.13454,      0.0327202426,      0.7294617831,                 0,                 0,                 0,      0.1660839148,   -0.002825418937,      0.7301897865,                 0,       22.29389898,    0.001938269982
       14525.13454,     0.03281756183,      0.7336479945,                 0,                 0,                 0,      0.1651969228,   -0.002931980762,      0.7343757728,                 0,       22.35534737,    0.001938269982
       14525.13454,     0.03293940219,      0.7376714079,                 0,                 0,                 0,      0.1642079283,   -0.003006126265,      0.7384003476,                 0,       22.39480254,    0.001938269982
       14525.13454,     0.03308936136,      0.7415203253,                 0,                 0,                 0,      0.1631266838,   -0.003043692619,      0.7422520021,                 0,       22.40962941,    0.001938269982
       14525.13454,     0.03327764713,      0.7452393527,                 0,                 0,                 0,      0.1619861637,    -0.00303665534,       0.745975786,                 0,       22.39459267,    0.001938269982
       14525.13454,     0.03349897567,       0.748820773,                 0,                 0,                 0,      0.1607885743,   -0.002989916378,      0.7495637344,                 0,        22.3535424,    0.001938269982
       14525.13454,     0.03374516073,      0.7522406949,                 0,                 0,                 0,      0.1595299881,   -0.002910489357,      0.7529915856,                 0,       22.29180951,    0.001938269982
       14525.13454,     0.03399612153,      0.7554121116,                 0,                 0,                 0,      0.1581778519,    -0.00281419615,      0.7561714587,                 0,       22.22053804,    0.001938269982
       14525.13454,     0.03424683195,       0.758326227,                 0,                 0,                 0,      0.1567362732,   -0.002705628775,      0.7590943233,                 0,       22.14295991,    0.001938269982
       14525.13454,     0.03450237769,      0.7610155816,                 0,                 0,                 0,      0.1552313054,   -0.002581291477,      0.7617929288,                 0,       22.05690253,    0.001938269982
       14525.13454,     0.03476394336,      0.7634945691,                 0,                 0,                 0,       0.153679573,   -0.002440701668,      0.7642817097,                 0,       21.96225443,    0.001938269982
       14525.13454,     0.03502603686,      0.7657571715,                 0,                 0,                 0,      0.1520841703,   -0.002289052019,      0.7665543877,                 0,       21.86251258,    0.001938269982
       14525.13454,     0.03528600444,      0.7678185872,                 0,                 0,                 0,      0.1504561722,   -0.002129732922,      0.7686260139,                 0,         21.759862,    0.001938269982
       14525.13454,     0.03555005676,      0.7697479265,                 0,                 0,                 0,      0.1488297116,   -0.001959905041,       0.770565919,                 0,       21.65250907,    0.001938269982
       14525.13454,     0.03581677952,       0.771572698,                 0,                 0,                 0,      0.1472198623,   -0.001782320013,      0.7724015105,                 0,       21.54221313,    0.001938269982
       14525.13454,     0.03608830092,      0.7733245266,                 0,                 0,                 0,      0.1456457239,   -0.001596391485,      0.7741644789,                 0,       21.42867652,    0.001938269982
       14525.13454,     0.03635957043,      0.7749875618,                 0,                 0,                 0,      0.1441056956,   -0.001406392504,       0.775838747,                 0,       21.31454119,    0.001938269982
       14525.13454,     0.03661459163,      0.7764816281,                 0,                 0,                 0,      0.1425675202,   -0.001224397937,      0.7773434556,                 0,        21.2068903,    0.001938269982
