"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
1169, 2.210974693298340e-01, -5.226382613182070e-02, 4.111133880946405e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.333949003307306e+04, 1.000000000000000e-10, 3.015775807028004e+08, 3.733579601322920e+04, 3.163691592546865e+02, 0.000000000000000e+00, -8.118430882518979e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.922364096084067e-05, 3.585886812509732e-03, -2.817424018483476e-04, -4.400886615675823e+02, 2.683308604096142e+00, 1.363200986421664e-19
1195, 2.082438766956330e-01, -5.121721699833870e-02, 4.141746629114288e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.405191171638240e+04, 1.000000000000000e-10, 2.994723019438559e+08, 3.762076468655294e+04, 3.164276578765100e+02, 0.000000000000000e+00, -6.156530477852435e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.922633764719730e-05, 3.575196063310465e-03, -3.040661825038245e-04, -4.386723031716920e+02, 2.689233028304673e+00, 1.383006349561775e-19
1221, 1.958884000778200e-01, -5.011982470750810e-02, 4.175694872806941e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.484009123066539e+04, 1.000000000000000e-10, 2.971344484708945e+08, 3.793603649226613e+04, 3.164853003940401e+02, 0.000000000000000e+00, -3.986004588131283e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.922899462767320e-05, 3.560787752528418e-03, -3.290182806375018e-04, -4.358139199132830e+02, 2.695045696077980e+00, 1.405312948144035e-19
1247, 1.840233504772190e-01, -4.897923022508620e-02, 4.208171271667443e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.559510279569698e+04, 1.000000000000000e-10, 2.949119602856911e+08, 3.823804111827876e+04, 3.165428979281982e+02, 0.000000000000000e+00, -1.906818160112097e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.923164929585220e-05, 3.541919820707072e-03, -3.499646530576801e-04, -4.309582669674876e+02, 2.698657210982550e+00, 1.426915685203699e-19
1273, 1.725961565971370e-01, -4.781839996576310e-02, 4.236216368066605e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.624571500755945e+04, 1.000000000000000e-10, 2.930706325603577e+08, 3.849828600302376e+04, 3.165873852196396e+02, 0.000000000000000e+00, -1.151315907130858e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.923369955006306e-05, 3.537642570804642e-03, -3.703861221042204e-04, -4.292997454009264e+02, 2.706147365140498e+00, 1.445450153591678e-19
1299, 1.616173982620240e-01, -4.663335904479030e-02, 4.264813561392262e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.690948785393947e+04, 1.000000000000000e-10, 2.912233016646155e+08, 3.876379514157576e+04, 3.166332980440948e+02, 0.000000000000000e+00, 1.712797354220710e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.923581535251896e-05, 3.535485940472989e-03, -3.956960071272823e-04, -4.307666991435721e+02, 2.714786048352113e+00, 1.464438786835313e-19
1325, 1.511152982711790e-01, -4.541423544287680e-02, 4.293215666181178e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.757016756378899e+04, 1.000000000000000e-10, 2.894689664460986e+08, 3.902806702551557e+04, 3.166829500987274e+02, 0.000000000000000e+00, 3.532208274011472e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.923810329942975e-05, 3.532214194529401e-03, -4.219338405898973e-04, -4.331875420018462e+02, 2.722743415175254e+00, 1.483125845675222e-19
1351, 1.410477757453920e-01, -4.417625442147250e-02, 4.325918371380686e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.832858845785004e+04, 1.000000000000000e-10, 2.875213415690638e+08, 3.933143538313999e+04, 3.167319110685880e+02, 0.000000000000000e+00, 5.620783472978076e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.924035922783663e-05, 3.527916697656258e-03, -4.509625169273225e-04, -4.342354108329192e+02, 2.731518211364306e+00, 1.504546310849230e-19
1377, 1.314679384231570e-01, -4.290277510881420e-02, 4.360809180631984e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.913827424378799e+04, 1.000000000000000e-10, 2.854284578766944e+08, 3.965530969751517e+04, 3.167849990434779e+02, 0.000000000000000e+00, 7.850534347074692e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.924280511761453e-05, 3.511076855180808e-03, -4.775792811396151e-04, -4.309812387712760e+02, 2.736258934136765e+00, 1.527802304426397e-19
1403, 1.222792565822600e-01, -4.162334650754930e-02, 4.390297336814220e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.982227084904182e+04, 1.000000000000000e-10, 2.837766714949424e+08, 3.992890833961670e+04, 3.168282129850413e+02, 0.000000000000000e+00, 9.734156432248285e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.924479593752934e-05, 3.506846947444816e-03, -5.016193792210373e-04, -4.300982243475813e+02, 2.743733501702653e+00, 1.547086564292448e-19
